segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.65,-274.4,46.987,3.0298514
3,0,4.8500004,-274.25,45.975,0.7088724
4,3,4.5,-273.775,42.5,0.3774917
5,4,2.8999999,-273.42502,39.825,0.47434163
6,5,0.65000004,-273.15,38.125,0.47169906
7,6,-2.1,-273.05,37.475,0.39051247
8,7,-4.8500004,-273.15,38.125,0.35000002
9,8,-7.125,-273.42502,39.825,0.4555217
10,9,-8.7,-273.775,42.449997,0.41533118
11,10,-9.2,-274.2,45.5,0.4472136
12,11,-8.65,-274.65,48.525,0.4924429
13,12,-7.1000004,-275.0,51.1,0.48989794
14,13,-4.8500004,-275.3,52.824997,0.48218253
15,14,-2.1,-275.35,53.399998,0.5
16,15,0.6,-275.3,52.824997,0.3774917
17,16,2.8999999,-274.97498,51.050003,0.5024938
18,17,4.4500003,-274.55002,48.0,0.42426404
