segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.65,-255.0,22.575,2.6870058
16,0,0.75,-247.90001,17.35,0.42426404
17,16,0.75,-243.35,14.55,0.4358899
18,17,0.75,-214.94998,-5.25,0.4358899
19,18,0.75,-210.2,-8.4,0.5
20,19,0.75,-167.6,-37.6,0.5
21,20,0.75,-162.85,-40.05,0.4358899
22,21,0.75,-135.45001,-53.95,0.4358899
23,22,0.75,-118.49999,-60.2,0.5
24,23,0.75,-102.35,-64.0,0.50990194
25,24,0.75,-84.15,-66.649994,0.4358899
26,25,0.75,-53.3,-67.049995,0.42426404
27,26,0.75,-47.15,-65.85,0.4358899
28,27,0.75,-3.4499998,-53.250004,0.4358899
29,28,0.75,3.7500002,-50.050003,0.4358899
30,29,0.75,32.25,-35.05,0.4358899
31,30,3.6499999,36.1,-30.55,0.46904156
32,31,9.925,42.05,-24.449999,0.55
33,32,13.2,47.5,-19.875,0.5123476
34,33,13.45,54.9,-15.05,0.42426404
35,34,11.900001,60.325005,-12.65,0.3640055
36,35,5.55,65.775,-10.75,0.42720017
37,36,0.95,69.375,-11.85,0.42720017
38,37,1.15,77.8,-6.3500004,0.42426404
39,38,0.75,84.75,-2.0,0.50990194
40,39,0.75,89.3,-0.5,0.5
41,40,0.75,116.2,4.4500003,0.42426404
42,41,0.75,125.100006,4.4500003,0.42426404
43,42,0.75,167.6,2.25,0.42426404
44,43,0.75,174.65,1.05,0.4358899
45,44,0.75,249.09999,-20.25,0.42426404
46,45,0.75,256.3,-21.5,0.5
47,46,0.75,283.3,-25.0,0.5
48,47,0.75,289.19998,-25.5,0.5
49,48,0.75,317.6,-26.499998,0.5
50,49,0.75,322.8,-26.050001,0.42426404
51,50,0.75,350.75,-23.0,0.50990194
52,51,0.75,355.35,-21.449999,0.4358899
53,52,0.75,386.1,-8.2,0.5
54,53,0.75,387.45,-7.5000005,0.50990194
55,0,-2.5,-267.5,25.275002,0.53150725
56,55,-2.55,-271.65,29.550001,0.4358899
57,56,-4.8500004,-273.15,36.199997,0.42426404
58,57,-7.125,-273.42502,39.825,0.38405728
59,58,-8.7,-273.775,42.449997,0.41533118
60,59,-9.2,-274.2,45.5,0.4472136
61,60,-8.65,-274.65,48.525,0.4924429
62,61,-7.1000004,-275.0,51.1,0.48989794
63,62,-4.8500004,-275.3,52.824997,0.48218253
1,0,6.7000003,-249.6,25.099998,0.56568545
2,1,6.7500005,-250.3,24.15,0.46904156
3,2,6.7500005,-251.55,23.15,0.4358899
4,3,6.7500005,-252.90001,22.949999,0.46904156
5,4,5.2999997,-257.35,25.375,0.26925823
6,5,0.375,-272.0,33.575,0.40620193
7,6,0.4,-272.625,34.625,0.32403705
8,7,1.275,-273.05,36.725,0.46368092
9,8,2.8999999,-273.42502,39.825,0.40620193
10,9,4.475,-273.775,42.449997,0.44158804
11,10,4.975,-274.2,45.5,0.42720017
12,11,4.4500003,-274.65,48.525,0.4924429
13,12,2.8999999,-275.0,51.1,0.48989794
14,13,0.6,-275.3,52.824997,0.5123476
15,14,-2.1,-275.35,53.399998,0.5
